# mode=collision,n=2000,struct=grid,cell=128,depth=5,node=4,seed=44,warmup_s=2,measure_s=5,config=2D,ticks=1007,frames=2268,measured_ticks=719,startup_ms=1348.12,glfw_first_draw_ms=1279.73,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1348.12,process_to_first_frame
glfw_ms,1279.73,glfw_init_to_first_frame
mem_ws_bytes,1.10887e+08,baseline
mem_private_bytes,1.8083e+08,baseline
mem_peak_ws_bytes,1.10887e+08,baseline
mem_ws_bytes,1.11428e+08,after_spawn
mem_private_bytes,1.81354e+08,after_spawn
mem_peak_ws_bytes,1.11428e+08,after_spawn
frame_ms,0.416,
frame_ms,0.5838,
tick_us,2830,4664
frame_ms,6.1926,
frame_ms,0.3897,
frame_ms,0.3449,
tick_us,2907.1,4654
frame_ms,6.1998,
frame_ms,0.3649,
frame_ms,0.4586,
tick_us,2906.6,4668
frame_ms,6.0795,
frame_ms,0.3866,
frame_ms,0.3791,
tick_us,2778.3,4654
frame_ms,5.9694,
frame_ms,0.396,
frame_ms,0.3851,
frame_ms,0.3162,
tick_us,2856.9,4650
frame_ms,6.1556,
frame_ms,0.3886,
frame_ms,0.3003,
tick_us,2773.7,4626
frame_ms,5.9853,
frame_ms,0.3819,
frame_ms,0.3309,
frame_ms,0.4104,
tick_us,2798.2,4666
frame_ms,5.958,
frame_ms,0.3622,
frame_ms,0.358,
frame_ms,0.2836,
tick_us,2798.2,4682
frame_ms,5.9683,
frame_ms,0.3193,
frame_ms,0.4,
tick_us,2804.4,4690
frame_ms,6.044,
frame_ms,0.5829,
frame_ms,0.4193,
tick_us,2841.9,4708
frame_ms,6.033,
frame_ms,0.3421,
frame_ms,0.364,
frame_ms,0.4101,
tick_us,2987.7,4676
frame_ms,6.3101,
frame_ms,0.359,
tick_us,2936.9,4710
frame_ms,6.2456,
frame_ms,0.4179,
frame_ms,0.3891,
tick_us,2830.3,4684
frame_ms,6.1172,
frame_ms,0.3702,
frame_ms,0.311,
tick_us,2882.8,4686
frame_ms,6.0909,
frame_ms,0.5895,
frame_ms,0.3517,
tick_us,2794.1,4692
frame_ms,6.0489,
frame_ms,0.3521,
frame_ms,0.3542,
frame_ms,0.3074,
tick_us,2783.2,4668
frame_ms,6.0176,
frame_ms,0.4475,
frame_ms,0.3985,
tick_us,2802.4,4654
frame_ms,6.0417,
frame_ms,0.3757,
frame_ms,0.3448,
frame_ms,0.3259,
tick_us,2895.4,4658
frame_ms,6.1902,
frame_ms,0.8738,
tick_us,2811.5,4676
frame_ms,6.1272,
frame_ms,0.3487,
frame_ms,0.2967,
tick_us,2767.6,4698
frame_ms,5.9164,
frame_ms,0.3219,
frame_ms,0.4632,
tick_us,2914,4692
frame_ms,6.2698,
frame_ms,0.392,
frame_ms,0.335,
tick_us,2781.1,4678
frame_ms,5.9892,
frame_ms,0.3538,
frame_ms,0.3115,
frame_ms,0.2746,
tick_us,2796,4674
frame_ms,6.1035,
frame_ms,0.5388,
frame_ms,0.2963,
tick_us,2788.7,4656
frame_ms,5.942,
frame_ms,0.3882,
frame_ms,0.3244,
frame_ms,0.2916,
tick_us,2834.6,4590
frame_ms,6.1122,
frame_ms,0.409,
frame_ms,0.5434,
tick_us,2776,4606
frame_ms,6.024,
frame_ms,0.3642,
frame_ms,0.3826,
frame_ms,0.3092,
tick_us,2788.6,4584
frame_ms,5.9487,
frame_ms,0.3792,
frame_ms,0.3555,
tick_us,2872.9,4590
frame_ms,6.081,
frame_ms,0.3497,
frame_ms,0.2881,
frame_ms,0.3825,
tick_us,2784.8,4592
frame_ms,6.0626,
frame_ms,0.3298,
frame_ms,0.2924,
frame_ms,0.287,
tick_us,2896.3,4620
frame_ms,6.1349,
frame_ms,0.3902,
frame_ms,0.3084,
tick_us,2784.8,4622
frame_ms,5.9515,
frame_ms,0.3494,
frame_ms,0.4207,
frame_ms,0.3931,
tick_us,2830,4662
frame_ms,6.1781,
frame_ms,0.4127,
frame_ms,0.3364,
tick_us,2802.6,4648
frame_ms,6.0426,
frame_ms,0.3459,
frame_ms,0.3272,
tick_us,2785.5,4620
frame_ms,6.2524,
frame_ms,0.3999,
frame_ms,0.3533,
tick_us,2942.4,4624
frame_ms,6.2621,
frame_ms,0.3427,
frame_ms,0.3721,
tick_us,2792.7,4604
frame_ms,5.98,
frame_ms,0.3955,
frame_ms,0.3214,
frame_ms,0.4131,
tick_us,2906.2,4592
frame_ms,6.1833,
frame_ms,0.4156,
frame_ms,0.294,
tick_us,2981,4618
frame_ms,6.2833,
frame_ms,0.3656,
frame_ms,0.3603,
tick_us,2791.8,4602
frame_ms,6.176,
frame_ms,0.3751,
frame_ms,0.318,
tick_us,2824.2,4584
frame_ms,6.0797,
frame_ms,0.3913,
frame_ms,0.3214,
tick_us,2756.2,4570
frame_ms,5.9289,
frame_ms,1.1492,
tick_us,2816.5,4592
frame_ms,6.2109,
frame_ms,0.3884,
frame_ms,0.3055,
tick_us,2767,4592
frame_ms,5.9511,
frame_ms,0.3863,
frame_ms,0.3276,
frame_ms,0.2989,
tick_us,2799.2,4532
frame_ms,6.0057,
frame_ms,0.4431,
frame_ms,0.3367,
tick_us,2770.7,4524
frame_ms,5.9368,
frame_ms,0.3595,
frame_ms,0.3612,
frame_ms,0.3037,
tick_us,2860.3,4510
